user_id,age,sex,occupation
1,24,M,technician
2,53,F,other
3,23,M,writer
4,24,M,technician
5,33,F,other
6,42,M,executive
7,57,M,administrator
8,36,M,administrator
9,29,M,student
10,53,M,lawyer
11,39,F,other
12,28,F,other
13,47,M,educator
14,45,M,scientist
15,49,F,educator
16,21,M,entertainment
17,30,M,programmer
18,35,F,other
19,40,M,librarian
20,42,F,homemaker
21,26,M,writer
22,25,M,writer
23,30,F,artist
24,21,F,artist
25,39,M,engineer
26,49,M,engineer
27,40,F,librarian
28,32,M,writer
29,41,M,programmer
30,7,M,student
31,24,M,artist
32,28,F,student
33,23,M,student
34,38,F,administrator
35,20,F,homemaker
36,19,F,student
37,23,M,student
38,28,F,other
39,41,M,entertainment
40,38,M,scientist
41,33,M,engineer
42,30,M,administrator
43,29,F,librarian
44,26,M,technician
45,29,M,programmer
46,27,F,marketing
47,53,M,marketing
48,45,M,administrator
49,23,F,student
50,21,M,writer
51,28,M,educator
52,18,F,student
53,26,M,programmer
54,22,M,executive
55,37,M,programmer
56,25,M,librarian
57,16,M,none
58,27,M,programmer
59,49,M,educator
60,50,M,healthcare
61,36,M,engineer
62,27,F,administrator
63,31,M,marketing
64,32,M,educator
65,51,F,educator
66,23,M,student
67,17,M,student
68,19,M,student
69,24,M,engineer
70,27,M,engineer
71,39,M,scientist
72,48,F,administrator
73,24,M,student
74,39,M,scientist
75,24,M,entertainment
76,20,M,student
77,30,M,technician
78,26,M,administrator
79,39,F,administrator
80,34,F,administrator
81,21,M,student
82,50,M,programmer
83,40,M,other
84,32,M,executive
85,51,M,educator
86,26,M,administrator
87,47,M,administrator
88,49,F,librarian
89,43,F,administrator
90,60,M,educator
91,55,M,marketing
92,32,M,entertainment
93,48,M,executive
94,26,M,student
95,31,M,administrator
96,25,F,artist
97,43,M,artist
98,49,F,executive
99,20,M,student
100,36,M,executive
101,15,M,student
102,38,M,programmer
103,26,M,student
104,27,M,student
105,24,M,engineer
106,61,M,retired
107,39,M,scientist
108,44,M,educator
109,29,M,other
110,19,M,student
111,57,M,engineer
112,30,M,salesman
113,47,M,executive
114,27,M,programmer
115,31,M,engineer
116,40,M,healthcare
117,20,M,student
118,21,M,administrator
119,32,M,programmer
120,47,F,other
121,54,M,librarian
122,32,F,writer
123,48,F,artist
124,34,M,student
125,30,M,lawyer
126,28,F,lawyer
127,33,M,none
128,24,F,marketing
129,36,F,marketing
130,20,M,none
131,59,F,administrator
132,24,M,other
133,53,M,engineer
134,31,M,programmer
135,23,M,student
136,51,M,other
137,50,M,educator
138,46,M,doctor
139,20,M,student
140,30,F,student
141,49,M,programmer
142,13,M,other
143,42,M,technician
144,53,M,programmer
145,31,M,entertainment
146,45,M,artist
147,40,F,librarian
148,33,M,engineer
149,35,F,marketing
150,20,F,artist
151,38,F,administrator
152,33,F,educator
153,25,M,student
154,25,M,student
155,32,F,other
156,25,M,educator
157,57,M,engineer
158,50,M,educator
159,23,F,student
160,27,M,programmer
161,50,M,lawyer
162,25,M,artist
163,49,M,administrator
164,47,M,healthcare
165,20,F,other
166,47,M,educator
167,37,M,other
168,48,M,other
169,52,F,other
170,53,F,healthcare
171,48,F,educator
172,55,M,marketing
173,56,M,other
174,30,F,administrator
175,26,F,scientist
176,28,M,scientist
177,20,M,programmer
178,26,M,other
179,15,M,entertainment
180,22,F,administrator
181,26,M,executive
182,36,M,programmer
183,33,M,scientist
184,37,M,librarian
185,53,F,librarian
186,39,F,executive
187,26,M,educator
188,42,M,student
189,32,M,artist
190,30,M,administrator
191,33,M,administrator
192,42,M,educator
193,29,M,student
194,38,M,administrator
195,42,M,scientist
196,49,M,writer
197,55,M,technician
198,21,F,student
199,30,M,writer
200,40,M,programmer
201,27,M,writer
202,41,F,educator
203,25,F,student
204,52,F,librarian
205,47,M,lawyer
206,14,F,student
207,39,M,marketing
208,43,M,engineer
209,33,F,educator
210,39,M,engineer
211,66,M,salesman
212,49,F,educator
213,33,M,executive
214,26,F,librarian
215,35,M,programmer
216,22,M,engineer
217,22,M,other
218,37,M,administrator
219,32,M,programmer
220,30,M,librarian
221,19,M,student
222,29,M,programmer
223,19,F,student
224,31,F,educator
225,51,F,administrator
226,28,M,student
227,46,M,executive
228,21,F,student
229,29,F,librarian
230,28,F,student
231,48,M,librarian
232,45,M,scientist
233,38,M,engineer
234,60,M,retired
235,37,M,educator
236,44,F,writer
237,49,M,administrator
238,42,F,administrator
239,39,M,artist
240,23,F,educator
241,26,F,student
242,33,M,educator
243,33,M,educator
244,28,M,technician
245,22,M,student
246,19,M,student
247,28,M,engineer
248,25,M,student
249,25,M,student
250,29,M,executive
251,28,M,doctor
252,42,M,engineer
253,26,F,librarian
254,44,M,educator
255,23,M,entertainment
256,35,F,none
257,17,M,student
258,19,F,student
259,21,M,student
260,40,F,artist
261,28,M,administrator
262,19,F,student
263,41,M,programmer
264,36,F,writer
265,26,M,executive
266,62,F,administrator
267,23,M,engineer
268,24,M,engineer
269,31,F,librarian
270,18,F,student
271,51,M,engineer
272,33,M,scientist
273,50,F,other
274,20,F,student
275,38,M,engineer
276,21,M,student
277,35,F,administrator
278,37,F,librarian
279,33,M,programmer
280,30,F,librarian
281,15,F,student
282,22,M,administrator
283,28,M,programmer
284,40,M,executive
285,25,M,programmer
286,27,M,student
287,21,M,salesman
288,34,M,marketing
289,11,M,none
290,40,M,engineer
291,19,M,student
292,35,F,programmer
293,24,M,writer
294,34,M,technician
295,31,M,educator
296,43,F,administrator
297,29,F,educator
298,44,M,executive
299,29,M,doctor
300,26,F,programmer
301,24,M,student
302,42,M,educator
303,19,M,student
304,22,F,student
305,23,M,programmer
306,45,M,other
307,25,M,student
308,60,M,retired
309,40,M,scientist
310,37,M,educator
311,32,M,technician
312,48,M,other
313,41,M,marketing
314,20,F,student
315,31,M,educator
316,43,F,other
317,22,M,administrator
318,65,M,retired
319,38,M,programmer
320,19,M,student
321,49,F,educator
322,20,M,student
323,21,M,student
324,21,F,student
325,48,M,technician
326,41,M,administrator
327,22,M,student
328,51,M,administrator
329,48,M,educator
330,35,F,educator
331,33,M,entertainment
332,20,M,student
333,47,M,other
334,32,M,librarian
335,45,M,executive
336,23,M,salesman
337,37,M,scientist
338,39,F,librarian
339,35,M,lawyer
340,46,M,engineer
341,17,F,student
342,25,F,other
343,43,M,engineer
344,30,F,librarian
345,28,F,librarian
346,34,M,other
347,18,M,student
348,24,F,student
349,68,M,retired
350,32,M,student
351,61,M,educator
352,37,F,programmer
353,25,M,scientist
354,29,F,librarian
355,25,M,student
356,32,F,homemaker
357,26,M,executive
358,40,M,educator
359,22,M,student
360,51,M,other
361,22,M,student
362,35,F,homemaker
363,20,M,student
364,63,M,engineer
365,29,M,lawyer
366,20,F,student
367,17,M,student
368,18,M,student
369,24,M,student
370,52,M,writer
371,36,M,engineer
372,25,F,student
373,24,F,other
374,36,M,executive
375,17,M,entertainment
376,28,F,other
377,22,M,student
378,35,M,student
379,44,M,programmer
380,32,M,engineer
381,33,M,artist
382,45,M,engineer
383,42,M,administrator
384,52,M,programmer
385,36,M,writer
386,36,M,salesman
387,33,M,entertainment
388,31,M,other
389,44,F,writer
390,42,F,writer
391,23,M,student
392,52,M,writer
393,19,M,student
394,25,M,administrator
395,43,M,other
396,57,M,engineer
397,17,M,student
398,40,M,other
399,25,M,other
400,33,F,administrator
401,46,F,healthcare
402,30,M,engineer
403,37,M,other
404,29,F,programmer
405,22,F,healthcare
406,52,M,educator
407,29,M,engineer
408,23,M,student
409,48,M,administrator
410,30,F,artist
411,34,M,educator
412,25,M,educator
413,55,M,educator
414,24,M,programmer
415,39,M,educator
416,20,F,student
417,27,F,other
418,55,F,none
419,37,M,lawyer
420,53,M,educator
421,38,F,programmer
422,26,M,entertainment
423,64,M,other
424,36,F,marketing
425,19,M,student
426,55,M,educator
427,51,M,doctor
428,28,M,student
429,27,M,student
430,38,M,scientist
431,24,M,marketing
432,22,M,entertainment
433,27,M,artist
434,16,F,student
435,24,M,engineer
436,30,F,administrator
437,27,F,other
438,51,F,administrator
439,23,F,administrator
440,30,M,other
441,50,M,technician
442,22,M,student
443,35,M,salesman
444,51,F,lawyer
445,21,M,writer
446,57,M,educator
447,30,M,administrator
448,23,M,entertainment
449,23,M,librarian
450,35,F,educator
451,16,M,student
452,35,M,administrator
453,18,M,student
454,57,M,other
455,48,M,administrator
456,24,M,technician
457,33,F,salesman
458,47,M,technician
459,22,M,student
460,44,F,other
461,15,M,student
462,19,F,student
463,48,F,healthcare
464,60,M,writer
465,32,M,other
466,22,M,student
467,29,M,engineer
468,28,M,engineer
469,60,M,educator
470,24,M,programmer
471,10,M,student
472,24,M,student
473,29,M,student
474,51,M,executive
475,30,M,programmer
476,28,M,student
477,23,F,student
478,29,M,other
479,30,M,educator
480,57,M,retired
481,73,M,retired
482,18,F,student
483,29,M,scientist
484,27,M,student
485,44,F,educator
486,39,M,educator
487,22,M,engineer
488,48,M,technician
489,55,M,other
490,29,F,artist
491,43,F,writer
492,57,M,educator
493,22,M,engineer
494,38,F,administrator
495,29,M,engineer
496,21,F,student
497,20,M,student
498,26,M,writer
499,42,M,programmer
500,28,M,administrator
501,22,M,student
502,22,M,student
503,50,F,writer
504,40,F,writer
505,27,F,other
506,46,M,programmer
507,18,F,writer
508,27,M,marketing
509,23,M,administrator
510,34,M,other
511,22,M,student
512,29,M,other
513,43,M,administrator
514,27,M,programmer
515,53,M,marketing
516,53,F,librarian
517,24,M,student
518,49,F,writer
519,22,M,other
520,62,M,healthcare
521,19,M,student
522,36,M,engineer
523,50,F,administrator
524,56,M,educator
525,27,F,administrator
526,30,M,marketing
527,33,M,librarian
528,18,M,student
529,47,F,administrator
530,29,M,engineer
531,30,F,salesman
532,20,M,student
533,43,M,librarian
534,20,M,student
535,45,F,educator
536,38,M,engineer
537,36,M,engineer
538,31,M,scientist
539,53,F,administrator
540,28,M,engineer
541,19,F,student
542,21,M,student
543,33,M,scientist
544,44,F,other
545,27,M,technician
546,36,M,executive
547,50,M,educator
548,51,M,writer
549,42,M,scientist
550,16,F,student
551,25,M,programmer
552,45,M,other
553,58,M,educator
554,32,M,scientist
555,29,F,educator
556,35,F,educator
557,30,F,writer
558,56,F,writer
559,69,M,executive
560,32,M,student
561,23,M,engineer
562,54,F,administrator
563,39,F,librarian
564,65,M,retired
565,40,M,student
566,20,M,student
567,24,M,entertainment
568,39,M,educator
569,34,M,educator
570,26,M,educator
571,34,M,artist
572,51,M,educator
573,68,M,retired
574,56,M,educator
575,33,M,marketing
576,48,M,executive
577,36,F,student
578,31,M,administrator
579,32,M,educator
580,16,M,student
581,37,M,other
582,17,M,student
583,44,M,engineer
584,25,M,student
585,69,M,librarian
586,20,M,student
587,26,M,other
588,18,F,student
589,21,M,lawyer
590,50,M,educator
591,57,F,librarian
592,18,M,student
593,31,F,educator
594,46,M,educator
595,25,M,programmer
596,20,M,artist
597,23,M,other
598,40,F,marketing
599,22,F,student
600,34,M,programmer
601,19,F,artist
602,47,F,other
603,21,M,programmer
604,39,M,educator
605,33,M,engineer
606,28,M,programmer
607,49,F,healthcare
608,22,M,other
609,13,F,student
610,22,M,student
611,46,M,librarian
612,36,M,educator
613,37,F,marketing
614,54,M,educator
615,38,M,educator
616,55,M,scientist
617,27,F,writer
618,15,F,student
619,17,M,student
620,18,F,writer
621,17,M,student
622,25,M,programmer
623,50,F,educator
624,19,M,student
625,27,M,programmer
626,23,M,scientist
627,24,M,engineer
628,13,M,none
629,46,F,other
630,26,F,healthcare
631,18,F,student
632,18,M,student
633,35,M,programmer
634,39,M,engineer
635,22,M,other
636,47,M,educator
637,30,M,other
638,45,M,engineer
639,42,F,librarian
640,20,M,student
641,24,M,student
642,18,F,student
643,39,M,scientist
644,51,M,retired
645,27,M,programmer
646,17,F,student
647,40,M,educator
648,43,M,engineer
649,20,M,student
650,42,M,engineer
651,65,M,retired
652,35,M,other
653,31,M,executive
654,27,F,student
655,50,F,healthcare
656,48,M,educator
657,26,F,none
658,33,M,programmer
659,31,M,educator
660,26,M,student
661,28,M,programmer
662,55,M,librarian
663,26,M,other
664,30,M,engineer
665,25,M,administrator
666,44,M,administrator
667,35,M,librarian
668,29,F,writer
669,37,M,other
670,30,M,technician
671,21,M,programmer
672,54,F,administrator
673,51,M,educator
674,13,F,student
675,34,M,other
676,30,M,programmer
677,20,M,other
678,50,M,educator
679,20,F,student
680,33,M,lawyer
681,44,F,marketing
682,23,M,programmer
683,42,M,librarian
684,28,M,student
685,32,F,librarian
686,32,M,educator
687,31,F,healthcare
688,37,F,administrator
689,25,M,other
690,35,M,salesman
691,34,M,educator
692,34,M,engineer
693,43,F,healthcare
694,60,M,programmer
695,26,M,writer
696,55,M,other
697,25,M,other
698,28,F,programmer
699,44,M,other
700,17,M,student
701,51,F,librarian
702,37,M,other
703,26,M,educator
704,51,F,librarian
705,21,F,student
706,23,M,student
707,56,F,librarian
708,26,F,homemaker
709,21,M,other
710,19,M,student
711,22,F,student
712,22,F,student
713,42,F,other
714,26,M,engineer
715,21,M,technician
716,36,F,administrator
717,24,M,technician
718,42,M,technician
719,37,F,other
720,49,F,administrator
721,24,F,entertainment
722,50,F,homemaker
723,26,M,executive
724,31,M,executive
725,21,M,student
726,25,F,administrator
727,25,M,student
728,58,M,executive
729,19,M,student
730,31,F,scientist
731,41,F,educator
732,28,F,other
733,44,F,other
734,25,F,other
735,29,F,healthcare
736,48,F,writer
737,30,M,programmer
738,35,M,technician
739,35,M,technician
740,25,F,educator
741,25,M,writer
742,35,M,student
743,31,M,programmer
744,35,M,marketing
745,42,M,writer
746,25,M,engineer
747,19,M,other
748,28,M,administrator
749,33,M,other
750,28,M,administrator
751,24,F,other
752,60,M,retired
753,56,M,salesman
754,59,F,librarian
755,44,F,educator
756,30,F,none
757,26,M,student
758,27,M,student
759,20,F,student
760,35,F,other
761,17,M,student
762,32,M,administrator
763,27,M,scientist
764,27,F,educator
765,31,M,student
766,42,M,other
767,70,M,engineer
768,29,M,administrator
769,39,M,executive
770,28,M,student
771,26,M,student
772,50,M,writer
773,20,M,student
774,30,M,student
775,46,M,executive
776,30,M,librarian
777,63,M,programmer
778,34,M,student
779,31,M,student
780,49,M,programmer
781,20,M,student
782,21,F,artist
783,30,M,marketing
784,47,M,administrator
785,32,M,engineer
786,36,F,engineer
787,18,F,student
788,51,M,administrator
789,29,M,other
790,27,M,technician
791,31,M,educator
792,40,M,programmer
793,22,M,student
794,32,M,educator
795,30,M,programmer
796,32,F,writer
797,44,F,other
798,40,F,writer
799,49,F,administrator
800,25,M,programmer
801,22,M,writer
802,35,M,administrator
803,70,M,administrator
804,39,M,educator
805,27,F,other
806,27,M,marketing
807,41,F,healthcare
808,45,M,salesman
809,50,F,marketing
810,55,F,other
811,40,F,educator
812,22,M,technician
813,14,F,student
814,30,M,other
815,32,M,other
816,34,M,other
817,19,M,student
818,28,M,librarian
819,59,M,administrator
820,22,M,student
821,37,M,engineer
822,29,F,librarian
823,27,M,artist
824,31,M,other
825,44,M,engineer
826,28,M,artist
827,23,F,engineer
828,28,M,librarian
829,48,M,writer
830,46,M,programmer
831,21,M,other
832,24,M,technician
833,34,M,writer
834,26,M,other
835,44,F,executive
836,44,M,artist
837,36,F,artist
838,23,M,student
839,38,F,entertainment
840,39,M,artist
841,45,M,doctor
842,40,M,writer
843,35,M,librarian
844,22,M,engineer
845,64,M,doctor
846,27,M,lawyer
847,29,M,student
848,46,M,engineer
849,15,F,student
850,34,M,technician
851,18,M,other
852,46,M,administrator
853,49,M,writer
854,29,F,student
855,53,M,librarian
856,43,F,marketing
857,35,F,administrator
858,63,M,educator
859,18,F,other
860,70,F,retired
861,38,F,student
862,25,M,executive
863,17,M,student
864,27,M,programmer
865,25,M,artist
866,45,M,other
867,24,M,scientist
868,21,M,programmer
869,30,M,student
870,22,M,student
871,31,M,executive
872,19,F,student
873,48,F,administrator
874,36,M,scientist
875,24,F,student
876,41,M,other
877,30,M,other
878,50,F,educator
879,33,F,administrator
880,13,M,student
881,39,M,marketing
882,35,M,engineer
883,49,M,librarian
884,44,M,engineer
885,30,F,other
886,20,M,student
887,14,F,student
888,41,M,scientist
889,24,M,technician
890,32,M,student
891,51,F,administrator
892,36,M,other
893,25,M,student
894,47,M,educator
895,31,F,librarian
896,28,M,writer
897,30,M,other
898,23,M,homemaker
899,32,M,other
900,60,M,retired
901,38,M,executive
902,45,F,artist
903,28,M,educator
904,17,F,student
905,27,M,other
906,45,M,librarian
907,25,F,other
908,44,F,librarian
909,50,F,educator
910,28,M,healthcare
911,37,F,writer
912,51,M,other
913,27,M,student
914,44,F,other
915,50,M,entertainment
916,27,M,engineer
917,22,F,student
918,40,M,scientist
919,25,M,other
920,30,F,artist
921,20,F,student
922,29,F,administrator
923,21,M,student
924,29,M,other
925,18,F,salesman
926,49,M,entertainment
927,23,M,programmer
928,21,M,student
929,44,M,scientist
930,28,F,scientist
931,60,M,educator
932,58,M,educator
933,28,M,student
934,61,M,engineer
935,42,M,doctor
936,24,M,other
937,48,M,educator
938,38,F,technician
939,26,F,student
940,32,M,administrator
941,20,M,student
942,48,F,librarian
943,22,M,student
